dataset_id,scenario_id,exec_num,agent_type,frame,scenario_status,ego_id,c_x,c_y,c_speed,c_acceleration,target_speed,c_steer,c_throttle,c_brake,perceived_c_x,perceived_c_y,perceived_c_speed,gaze_direction,preceding_id,a_x,a_y,a_speed
1,1,1,cogmod,1925,ScenarioState.PENDING,386,-374.3043518066406,373.9527282714844,25.558109283447266,25.558109283447266,27.83653785265142,-0.012954247184097767,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1926,ScenarioState.PENDING,386,-374.59197998046875,372.9693908691406,25.646024703979492,25.646024703979492,27.83653785265142,0.04746898636221886,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1927,ScenarioState.PENDING,386,-374.87750244140625,371.9815673828125,25.743637084960938,25.743637084960938,27.83653785265142,-0.004935921169817448,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1928,ScenarioState.PENDING,386,-375.1623840332031,370.98944091796875,25.84052085876465,25.84052085876465,28.10083586900553,-0.011946062557399273,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1929,ScenarioState.PENDING,386,-375.4430236816406,369.9924621582031,25.92708969116211,25.92708969116211,28.10083586900553,0.04934748634696007,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1930,ScenarioState.PENDING,386,-375.7213134765625,368.9908447265625,26.02424430847168,26.02424430847168,28.10083586900553,-0.0032143995631486177,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1931,ScenarioState.PENDING,386,-375.99896240234375,367.9850769042969,26.120731353759766,26.120731353759766,28.362126017856344,-0.010831491090357304,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1932,ScenarioState.PENDING,386,-376.2722473144531,366.9743957519531,26.206804275512695,26.206804275512695,28.362126017856344,0.04987916722893715,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1933,ScenarioState.PENDING,386,-376.5431823730469,365.9592590332031,26.303569793701172,26.303569793701172,28.362126017856344,-0.00294302124530077,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1934,ScenarioState.PENDING,386,-376.8133850097656,364.9399108886719,26.399669647216797,26.399669647216797,28.621514170936543,-0.010730462148785591,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.LEFTBLINDSPOT,380,109.47999572753906,0.7199999690055847,34.160072326660156
